,CODE_GENDER,FLAG_OWN_CAR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,OBS_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,NAME_EDUCATION_TYPE_Highereducation,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_MEAN,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_DEBT_MEAN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,CLOSED_DAYS_CREDIT_MAX,PREV_AMT_ANNUITY_MIN,PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MEAN,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MEAN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_GOODS_PRICE_MIN,PREV_RATE_DOWN_PAYMENT_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,APPROVED_AMT_APPLICATION_MIN,APPROVED_AMT_APPLICATION_MAX,APPROVED_AMT_APPLICATION_MEAN,APPROVED_DAYS_DECISION_MAX,APPROVED_CNT_PAYMENT_MEAN,APPROVED_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_MEAN,POS_MONTHS_BALANCE_SIZE,INSTAL_DPD_MEAN,CC_AMT_BALANCE_MEAN,CC_AMT_BALANCE_VAR,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN
57537,0,0,166500.0,161730.0,11070.0,0.014464,-10926,-1124.0,-4461.0,-496,,0.4382377561174773,0.6297460158542474,,0.9747,0.0,-345.0,0,1.0294936004451865,166500.0,0.0664864864864864,0.0684474123539232,,,,,,,,,,,,,2250.0,8334.54,4278.18,0.943970825044994,1.0,0.9813236083483312,2.25,44844.75,5.157901534884723e-05,-345.0,-334.0,-341.3333333333333,2.0,0.0,0.0,0.0,44844.75,45000.0,44948.25,-334.0,2.0,6.0,,,,0.0,75774.13500000001,978140614.0749748,1.3333333333333333
184635,1,0,72000.0,270000.0,14512.5,0.028663,-16278,-9288.0,-5143.0,-4626,,,0.6379320300612007,0.6910212267577837,0.9866,0.0,-1550.0,0,0.2666666666666666,24000.0,0.2015625,0.05375,,,,,,,,,,,,,2132.91,23502.735,13635.37125,0.8833922261484098,1.0,0.9439578850008494,13500.0,16420.5,0.0245430780871422,-2217.0,-1350.0,-1747.0,25.0,0.0,0.75,0.75,16420.5,630000.0,240073.875,-1350.0,25.0,100.0,-4.0,-29.8,10.0,,,,
166962,0,1,270000.0,755190.0,38556.0,0.020713,-13927,-5116.0,-3886.0,-1138,10.0,0.4434497404547604,0.5926701497568901,0.5709165417729987,0.9851,6.0,-1264.0,0,0.3575259206292456,135000.0,0.1428,0.0510547014658562,-462.0,-159.6,0.0,1486251.612,7431258.06,861113.7,-462.0,-247.0,558.0,,0.0,-730.0,40756.23,40756.23,40756.23,1.0647424456889654,1.0647424456889654,1.0647424456889654,23359.5,233563.5,0.1048142480086563,-1264.0,-1264.0,-1264.0,6.0,0.0,0.0,0.0,233563.5,233563.5,233563.5,-1264.0,6.0,6.0,-26.0,-37.66666666666666,3.0,,,,
1602,1,0,157500.0,225000.0,16371.0,0.020713,-9748,-534.0,-1055.0,-2068,,0.2114790746449015,0.7038550173053244,,,0.0,-312.0,0,0.7,78750.0,0.1039428571428571,0.07276,,,,,,,,,,,,,13443.075,13443.075,13443.075,0.8833922261484098,0.8833922261484098,0.8833922261484098,,225000.0,,-312.0,-306.0,-309.0,24.0,0.0,0.5,0.0,225000.0,225000.0,225000.0,-306.0,24.0,24.0,-1.0,-2.5,4.0,0.0,,,
296019,1,0,225000.0,594000.0,28705.5,0.026392,-22820,,-3953.0,-4349,,,0.5658701040433992,0.8277026681625442,0.9945,0.0,-1488.0,0,0.3787878787878788,112500.0,0.12758,0.0483257575757575,,,,,,,,,,,,,10588.995,47374.425,27279.162,0.9132087607362708,1.0,0.9436912388856196,0.0,90000.0,0.0,-2301.0,-419.0,-1234.8333333333333,21.6,0.0,0.1666666666666666,0.3333333333333333,90000.0,1354500.0,478800.0,-420.0,21.6,108.0,-6.0,-13.0,5.0,,,,
254153,1,0,112500.0,814041.0,23931.0,0.009175,-14358,-474.0,-2521.0,-4332,,,0.3493827650002684,0.524496446363472,,2.0,-1561.0,0,0.1381994273015732,18750.0,0.21272,0.0293977821755906,,,,,,,,,,,,,9989.415,24092.775,17041.095,0.7378657969688474,0.9044936036576918,0.8211797003132696,0.0,88132.5,0.0,-778.0,-540.0,-659.0,18.0,0.0,0.0,0.5,88132.5,225000.0,156566.25,-540.0,18.0,36.0,-5.0,-10.0,4.0,,0.0,0.0,
153433,0,0,157500.0,368163.0,24732.0,0.018634,-13665,-1202.0,-498.0,-1520,,0.4354499014477425,0.7238381446349651,,,0.0,-449.0,0,0.4277996430928691,78750.0,0.1570285714285714,0.0671767668125259,,,,,,,,,,,,,2973.15,36164.385,19568.7675,0.9191166269375812,1.2501228878648234,1.0846197574012022,7327.35,36622.35,0.1089519142371703,-332.0,-187.0,-259.5,14.0,0.5,0.5,0.5,36622.35,36622.35,36622.35,-332.0,12.0,12.0,-6.0,-8.0,2.0,,,,
207892,1,0,54000.0,187704.0,8878.5,0.018209,-19355,-273.0,-7663.0,-2914,,,0.5575957771905029,0.5620604831738043,,2.0,0.0,0,0.287686996547756,27000.0,0.1644166666666666,0.0473005370157268,-202.0,-653.1333333333333,0.0,80373.3,1205599.5,47121.5,-506.0,-317.0,-245.0,0.0,0.0,-202.0,,,,,,,,,,,,,,,,,,,,,,,-32.0,-32.0,1.0,,,,
293259,1,0,135000.0,348264.0,17689.5,0.00823,-23637,,-10008.0,-4275,,,0.565397306940429,0.5638350489514956,0.9866,0.0,-2.0,1,0.3876369650609882,135000.0,0.1310333333333333,0.0507933636551581,-192.0,-430.1666666666667,,279000.0,1674000.0,23508.0,-192.0,-8.0,38.0,,0.0,-354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283360,1,0,180000.0,395640.0,30748.5,0.035792,-12765,-1090.0,-58.0,-2411,,0.2926034610937631,0.538695573977882,0.2750003523983893,0.9985,0.0,-965.0,1,0.4549590536851683,90000.0,0.170825,0.0777183803457688,-211.0,-238.11111111111111,0.0,1133011.5,10197103.5,1317153.9975,-211.0,553.0,8388.25,0.0,229.12875,-333.0,11250.0,31816.305,19980.435,0.7135212272565109,1.0,0.9045070757521704,,225000.0,,-937.0,-937.0,-937.0,16.0,1.0,0.3333333333333333,0.0,,,,,,,-26.0,-26.0,1.0,,,,
223765,1,0,135000.0,481495.5,32436.0,0.018029,-12645,-5794.0,-6255.0,-4290,,0.4198646071265578,0.6048420742570294,0.1766525794312139,0.9831,2.0,0.0,0,0.2803764521163749,135000.0,0.2402666666666666,0.0673651155618276,-299.0,-555.4285714285714,0.0,395935.7142857143,2771550.0,279643.5,-299.0,-419.0,608.0,,0.0,-1069.0,3150.0,5130.18,3810.06,0.0,0.9099191319479988,0.3033063773159996,0.0,40000.5,0.0,-2304.0,-1817.0,-1979.6666666666667,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,40000.5,20000.25,-1817.0,6.0,12.0,-73.0,-73.0,1.0,,19147.960384615384,369179181.3112269,0.2307692307692307
237335,1,0,112500.0,900000.0,26316.0,0.020246,-14794,-1339.0,-1015.0,-4580,,,0.5840429251485022,0.2778856891082046,0.9811,7.0,-1810.0,0,0.125,112500.0,0.23392,0.02924,-430.0,-196.0,,31500.0,31500.0,0.0,,,,,,-430.0,3611.205,17841.87,9436.014,0.7688851769720358,1.0144927536231885,0.9208425339894786,12015.0,30555.0,0.0471758054644257,-1810.0,-545.0,-1044.2,12.4,0.0,0.0,0.4,30555.0,120141.0,79626.6,-545.0,12.4,62.0,-22.0,-40.0,2.0,,,,
271252,0,0,225000.0,706410.0,67072.5,0.026392,-15437,-108.0,-7918.0,-4012,,,0.6861470115200301,,0.9861,0.0,-1448.0,0,0.3185119123455217,225000.0,0.2981,0.0949484010702,,,,,,,,,,,,,4784.22,4784.22,4784.22,1.1911189358372456,1.1911189358372456,1.1911189358372456,5481.0,27400.5,0.2095596725549332,-1448.0,-1448.0,-1448.0,6.0,0.0,0.0,1.0,27400.5,27400.5,27400.5,-1448.0,6.0,6.0,,,,,,,
16803,1,0,72000.0,540000.0,15786.0,0.019101,-21548,,-10550.0,-4553,,,0.2563991885360997,0.7238369900414456,,0.0,-1029.0,0,0.1333333333333333,72000.0,0.21925,0.0292333333333333,-491.0,-1111.0,0.0,46520.670000000006,279124.02,6390.75,-491.0,240.0,240.0,0.0,0.0,-749.0,15424.56,15424.56,15424.56,0.964144854786662,0.964144854786662,0.964144854786662,0.0,121005.0,0.0,-1029.0,-1029.0,-1029.0,10.0,0.0,0.0,0.0,121005.0,121005.0,121005.0,-1029.0,10.0,10.0,-25.0,-26.666666666666668,3.0,0.0,,,
